id,description,year,dateBegan,daterestoration,respondent,geographicAreas,NERCRegion,tags,beginTime,restorationTime,numCustomersAffected,demandLoss
927,Severe Weather,2010,1/18/2010,1/28/2010,Pacific Gas and Electric Company,Northern and Central California,WECC,"severe weather, storm",11:30:00,08:00:00,1700000.0,290.0
928,Public Appeal,2010,1/11/2010,1/11/2010,Progress Energy Florida,Northern and Central Florida,"FRCC, SERC","load shedding, public appeal",03:45:00,09:57:00,,
929,Public Appeal,2010,1/6/2010,1/8/2010,Southwest Louisiana Electric Membership Corporation,Southwest Louisiana,SERC,public appeal,18:00:00,18:00:00,,
930,Severe Weather,2009,12/18/2009,12/25/2009,American Electric Power,"West Virginia, Kentucky, Ohio",RFC,severe weather,20:00:00,21:30:00,403913.0,
931,Severe Weather,2009,12/18/2009,12/19/2009,Progress Energy Carolinas Inc,Western North Carolina,SERC,severe weather,22:55:00,23:15:00,47000.0,
932,Severe Weather,2009,12/10/2009,12/12/2009,Detroit Edison,Michigan,RFC,severe weather,17:45:00,08:00:00,65562.0,
933,Severe Weather,2009,12/9/2009,12/10/2009,American Electric Power,Ohio,RFC,severe weather,13:37:00,06:30:00,48102.0,
934,Public Appeal,2009,12/8/2009,12/8/2009,California Independent System Operator,California,WECC,"load shedding, public appeal",06:34:00,12:00:00,,
935,Severe Weather,2009,12/8/2009,12/10/2009,Arizona Public Service,Arizona,WECC,severe weather,01:00:00,11:00:00,140000.0,
936,Equipment Failure,2009,12/7/2009,12/8/2009,California Department of Water Resources,California,WECC,equipment failure,22:00:00,04:00:00,,400.0
937,Switching Failure,2009,11/18/2009,11/18/2009,California Dept of Water Resources,"Central Valley, CA",WECC,equipment failure,06:15:00,10:00:00,,630.0
938,Severe Weather,2009,11/12/2009,11/14/2009,Dominion VirginiaPower/Dominion North Carolina Power,"Southeastern Virginia, Northeastern North Carolina",SERC,"severe weather, hurricane/tropical storm",18:45:00,04:25:00,335000.0,400.0
939,Severe Weather,2009,10/13/2009,10/13/2009,Sacramento Municipal Utility District,Sacramento County,WECC,"severe weather, wind",15:45:00,17:50:00,94000.0,90.0
940,Ice,2009,10/13/2009,10/13/2009,Western Area Power Administration Upper Great Plains Region,Southeastern Wyoming,WECC,"severe weather, winter storm",12:48:00,14:34:00,35500.0,101.0
941,Severe Weather,2009,10/13/2009,10/13/2009,Pacific Gas and Electric,Northern California,WECC,"severe weather, wind, rain",16:00:00,22:30:00,859554.0,350.0
942,System Interruption,2009,10/9/2009,10/9/2009,California Department of Water Resources,"Central Valley, CA (Bakersfield, CA)",WECC,transmission interruption,18:30:00,19:10:00,,180.0
943,Severe Weather,2009,10/9/2009,10/11/2009,Entergy Corporation,Arkansas and North Louisiana,SERC,"severe weather, winter storm",22:45:00,16:00:00,56000.0,
944,Severe Weather,2009,10/7/2009,10/9/2009,Detroit Edison,Southeast Michigan,RFC,"severe weather, storm",05:45:00,23:00:00,75000.0,
945,Public Appeal,2009,8/31/2009,8/31/2009,Los Angeles Department of Water and Power,"City of Los Angeles, California",WECC,public appeal,10:31:00,00:00:00,,
946,Electrical System Separation,2009,8/29/2009,8/29/2009,Western Area Power Administration Upper Great Plains Region,Western South Dakota,MRO,islanding,11:00:00,14:01:00,18.0,373.0
947,Electrical System Separation,2009,8/29/2009,8/29/2009,Midwest ISO,Western South Dakota,RFC,islanding,22:54:00,23:53:00,0.0,84.0
948,Thunderstorm,2009,8/21/2009,8/22/2009,CenterPoint Energy,Houston Metropolitan Service Area,TRE,"severe weather, thunderstorm",19:00:00,08:00:00,80000.0,544.0
949,Thunderstorm,2009,8/12/2009,8/12/2009,CenterPoint Energy,South Houston Service Area,TRE,"severe weather, thunderstorm",18:25:00,10:00:00,73000.0,491.0
950,Severe Weather,2009,8/9/2009,8/10/2009,Consumers Energy,"Michigan, Lower Peninsula",RFC,"severe weather, thunderstorm",19:31:00,09:59:00,58156.0,
951,Severe Weather,2009,8/7/2009,8/11/2009,Detroit Edison,Western Region of Service Territory,RFC,"severe weather, wind, rain",23:00:00,22:00:00,137000.0,
952,Public Appeal,2009,8/5/2009,8/5/2009,ERCOT ISO,ERCOT Region,TRE,public appeal,15:00:00,19:00:00,,
953,Thunderstorm,2009,8/4/2009,8/8/2009,Duke Energy Midwest,"Northern Kentucky, Southwest Ohio and Central and South Indiana",RFC,"severe weather, thunderstorm",13:45:00,21:00:00,63700.0,50.0
954,Severe Weather,2009,8/2/2009,8/3/2009,PECO Energy,"Chester, Montgomery, Delaware, Philadelphia and Bucks Counties, Pennsyvania",RFC,"severe weather, wind",02:17:00,13:09:00,70264.0,
955,Loss of Part of Substation,2009,7/28/2009,7/28/2009,PacificCorp,Salt Lake City Utah and Northern Utah,WECC,equipment failure,20:18:00,20:33:00,,316.0
956,Failure of Computer Hardware Used for Monitoring,2009,7/27/2009,7/27/2009,Tennessee Valley Authority,"Chattanooga, Tennessee",SERC,equipment failure,05:05:00,05:47:00,,
957,Unit Tripped,2009,7/21/2009,7/21/2009,Crockett Cogeneration,"San Francisco Bay Area, California",WECC,generator trip,05:34:00,08:43:00,1.0,136.0
958,Severe Weather,2009,7/20/2009,7/22/2009,Public Service Company of Colorado,"Metro Denver (Jefferson, Adams, and Arapahoe Counties)",WECC,"severe weather, thunderstorm",21:50:00,19:00:00,86058.0,150.0
959,Thunderstorm,2009,7/18/2009,7/19/2009,CenterPoint Energy,Houston/Galveston Area,TRE,"severe weather, thunderstorm",19:00:00,21:00:00,73000.0,51.0
960,Public Appeal,2009,7/16/2009,7/16/2009,AEP West,AEP SWEPCO/Louisiana Area,SPP,public appeal,13:00:00,18:00:00,,
961,Public Appeal,2009,7/15/2009,7/15/2009,AEP West,AEP SWEPCO/Louisiana Area,SPP,public appeal,13:00:00,18:00:00,,
962,Public Appeal,2009,7/14/2009,7/14/2009,AEP West,AEP SWEPCO/Louisiana Area,SPP,public appeal,13:00:00,18:00:00,,
963,Public Appeal,2009,7/8/2009,7/8/2009,ERCOT ISO,ERCOT Region,TRE,public appeal,13:30:00,19:00:00,,
964,Public Appeal,2009,7/7/2009,7/7/2009,ERCOT ISO,"San Antonio, Texas",TRE,public appeal,15:30:00,19:00:00,,
965,Electrical System Separation,2009,7/2/2009,7/3/2009,ISO New England,Northern Maine,NPCC,islanding,22:44:00,01:25:00,0.0,0.0
966,Severe Weather,2009,6/26/2009,6/29/2009,Connecticut Light and Power,Central Connecticut,NPCC,"severe weather, thunderstorm",17:00:00,09:00:00,50752.0,
967,Severe Weather,2009,6/26/2009,6/27/2009,Duke Energy Midwest,"Southwest Ohio, Northern Kentudky, Central and Southern Indiana",RFC,"severe weather, thunderstorm",01:00:00,09:00:00,85000.0,327.0
968,Severe Weather,2009,6/25/2009,6/28/2009,Detroit Edison,Western Region of Service Territory,RFC,"severe weather, wind, rain",15:30:00,20:00:00,118000.0,
969,Public Appeal,2009,6/25/2009,6/25/2009,ERCOT ISO,ERCOT Region,TRE,public appeal,15:16:00,19:00:00,,
970,Public Appeal,2009,6/24/2009,6/24/2009,SW Louisiana Electric Membership Corp/ Louisiana Generating LLC,Southwest Louisiana,SERC,public appeal,13:30:00,22:00:00,,
971,Severe Weather,2009,6/19/2009,6/19/2009,Exelon Corporation ComEd,The Entire ComEd Service Territory,SERC,"severe weather, storm",13:00:00,23:59:00,245000.0,
972,Severe Weather,2009,6/19/2009,6/21/2009,Consumers Energy,Michigan Lower Peninsula,RFC,"severe weather, storm",00:01:00,23:00:00,99000.0,75.0
973,Fuel Supply,2009,6/16/2009,6/17/2009,California Department of Water Resources,A.D. Edmonston Pumping Plant,WECC,fuel supply emergency,23:00:00,02:00:00,0.0,300.0
974,Severe Weather,2009,6/12/2009,6/12/2009,Tennessee Valley Authority,"Chattanooga, Tennessee",SERC,"severe weather, storm",16:37:00,18:53:00,136000.0,860.0
975,Severe Weather,2009,6/12/2009,6/13/2009,Southern Company,Georgia,SERC,"severe weather, thunderstorm",22:00:00,18:00:00,102000.0,290.0
976,Severe Weather,2009,6/12/2009,6/15/2009,Entergy Corporation,"Arkansas, North Mississippi",SERC,"severe weather, thunderstorm",17:45:00,23:59:00,81645.0,
977,Severe Weather,2009,6/10/2009,6/14/2009,"Oncor Electric Delivery Company, LLC",North and Central Texas,TRE,"severe weather, storm",18:00:00,10:00:00,800000.0,
978,Severe Weather,2009,6/9/2009,6/11/2009,Baltimore Gas and Electric,Central Maryland,RFC,"severe weather, thunderstorm",17:25:00,05:00:00,85091.0,60.0
979,Electrical System Separation,2009,6/5/2009,6/5/2009,Pacific Gas and Electric,East of Fresno California,WECC,islanding,13:38:00,20:18:00,70.0,1.0
980,Transmission Equipment,2009,5/29/2009,5/29/2009,Big Rivers Electric Corporation,"Henderson County, Kentucky",SERC,"equipment failure, transmission interruption",09:05:00,19:57:00,1.0,342.0
981,Severe Weather,2009,5/8/2009,5/8/2009,The Empire District Electric Company,SW Missouri,SERC,"severe weather, thunderstorm",07:30:00,09:00:00,83000.0,266.0
982,Severe Weather,2009,5/8/2009,5/14/2009,Ameren,Southern Illinois,SERC,"severe weather, thunderstorm",13:30:00,23:20:00,68800.0,300.0
983,Severe Weather,2009,4/27/2009,4/28/2009,CenterPoint Energy,Greater Houston/Galveston Area,TRE,"severe weather, wind",15:30:00,11:30:00,158000.0,176.0
984,Severe Weather,2009,4/25/2009,4/29/2009,Detroit Edison,Western Region of Service Territory,RFC,"severe weather, wind, rain",14:30:00,01:00:00,125000.0,
985,System Failure,2009,4/24/2009,4/24/2009,Constellation Energy,"Ruston, Louisiana",SERC,unknown,11:09:00,11:21:00,11000.0,32.0
986,Fuel Supply,2009,4/23/2009,Ongoing,"State of California, Department of Water Resources",Restricted Hydro Electric Capability,WECC,fuel supply emergency,00:00:00,,,
987,Load Interruption,2009,4/23/2009,4/23/2009,Southern California Edison Co,"Communities of Elsinore, Hemet, Moreno Valley, Perris, San Jacinto and Temecula in the southeastern area of Riverside County in California",WECC,load shedding,17:54:00,19:58:00,280000.0,512.0
988,Transmission Equipment,2009,4/23/2009,4/24/2009,Puget Sound Energy,"Skagit County, Washington",WECC,equipment failure,16:25:00,00:29:00,93300.0,244.0
989,Severe Weather,2009,4/10/2009,4/11/2009,Southern Company,Alabama and Georgia,SERC,"severe weather, thunderstorm",22:00:00,02:30:00,56679.0,162.0
990,Severe Weather,2009,4/6/2009,4/8/2009,Consumers Energy,"Michigan, Lower Peninsula",RFC,"severe weather, winter storm",01:00:00,12:00:00,70793.0,75.0
991,Unit Shut Down,2009,3/8/2009,3/8/2009,Crockett Cogeneration,"San Francisco Bay Area, California",WECC,unknown,22:16:00,23:45:00,,150.0
992,Public Appeal,2009,3/3/2009,3/4/2009,American Electric Power,"Roanoke, Virginia",RFC,public appeal,22:00:00,20:17:00,0.0,350.0
993,Fault On Line,2009,3/3/2009,4/26/2009,"New Covert Generating Company, LLC",Southwest Michigan,RFC,equipment failure,06:48:00,06:05:00,,378.0
994,Severe Weather,2009,3/1/2009,3/3/2009,Dominion Virginia/North Carolina Power,Central Virginia - Spotsylvania County,SERC,"severe weather, winter storm",22:00:00,18:00:00,217000.0,210.0
995,Severe Weather,2009,3/1/2009,3/3/2009,Duke Energy Carolinas,Duke Energy Carolinas Balance Authority,SERC,"severe weather, winter storm",20:54:00,16:06:00,180000.0,1000.0
996,Transmission Equipment,2009,3/1/2009,3/1/2009,El Paso Electric Company,"City of El Paso, Texas, County of El Paso",WECC,"equipment failure, transmission interruption",00:15:00,03:00:00,132000.0,250.0
997,Severe Weather,2009,3/1/2009,3/1/2009,Southern Company,Southern Balancing Area,SERC,severe weather,16:00:00,23:25:00,60000.0,75.0
998,Severe Weather,2009,2/23/2009,2/24/2009,Central Maine Power Company,Southern Central and Western Maine,NPCC,"severe weather, winter storm",02:38:00,13:46:00,131000.0,
999,Severe Weather,2009,2/13/2009,2/15/2009,Ohio Edison Company,Central and Eastern Ohio,RFC,"severe weather, wind",02:30:00,03:00:00,184000.0,168.0
1000,Severe Weather,2009,2/12/2009,2/12/2009,Midwest ISO,Central and Eastern Ohio,RFC,"severe weather, wind",02:30:00,06:00:00,184000.0,168.0
1001,Severe Weather,2009,2/12/2009,2/15/2009,Penelec,Western and North Eastern Pennsylvania,RFC,"severe weather, wind",08:00:00,22:00:00,132000.0,130.0
1002,Severe Weather,2009,2/11/2009,2/16/2009,Allegheny Power,"Maryland, Virginia, West Virginia and Pennsylvania",RFC,"severe weather, thunderstorm",18:18:00,20:10:00,374644.0,
1003,Severe Weather,2009,2/11/2009,2/13/2009,American Electric Power,"Kentucky, West Virginia and Ohio",RFC,"severe weather, thunderstorm",18:00:00,17:00:00,279813.0,
1004,Severe Weather,2009,2/11/2009,2/12/2009,Midwest ISO,Northern Kentucky and Southwest Ohio,RFC,"severe weather, thunderstorm",21:00:00,12:00:00,63000.0,350.0
1005,Severe Weather,2009,2/11/2009,2/11/2009,CenterPoint Energy,"Houston, Texas",TRE,"severe weather, wind",02:30:00,12:00:00,64801.0,350.0
1006,Severe Weather,2009,2/11/2009,2/12/2009,Louisville Gas and Electric/Kentucky Utilities,State of Kentucky,RFC,"severe weather, thunderstorm",19:00:00,11:00:00,78000.0,
1007,Severe Weather,2009,1/28/2009,1/30/2009,Midwest ISO,East Central Missouri,RFC,"severe weather, winter storm",00:10:00,21:20:00,1.0,300.0
1008,Severe Weather,2009,1/28/2009,1/30/2009,Duke Energy Ohio,Northern Kentucky and Southwest Ohio,RFC,"severe weather, winter storm",10:00:00,21:20:00,53600.0,
1009,Severe Weather,2009,1/28/2009,2/13/2009,Duke Energy Indiana,Southern Indiana,RFC,"severe weather, winter storm",07:50:00,08:03:00,53700.0,
1010,Severe Weather,2009,1/28/2009,2/13/2009,Midwest ISO,"Illinois, Indiana, Ohio and Kentucky",RFC,"severe weather, winter storm",03:00:00,08:03:00,230300.0,
1011,Severe Weather,2009,1/28/2009,2/5/2009,Tennessee Valley Authority,Northeast Tennessee and Southwest Kentucky,SERC,"severe weather, winter storm",09:00:00,08:00:00,109527.0,
1012,Severe Weather,2009,1/28/2009,2/5/2009,Vectren Energy Delivery of Indiana,"Indiana, Evansville, Metro Area",RFC,"severe weather, winter storm",06:00:00,18:00:00,75000.0,506.0
1013,Severe Weather,2009,1/28/2009,2/7/2009,Henderson Municipal Power and Light,"City of Henderson, Kentucky and Portions of Henderson County, Kentucky",RFC,"severe weather, winter storm",04:00:00,17:00:00,3500.0,21.0
1014,Severe Weather,2009,1/27/2009,1/29/2009,American Electric Power,CSWS-AEP West,RFC,"severe weather, winter storm",15:43:00,09:00:00,59402.0,
1015,Severe Weather,2009,1/27/2009,2/4/2009,Big Rivers Electric Corporation,Western Kentucky and Southern Indiana,SERC,"severe weather, winter storm",07:10:00,19:30:00,3.0,350.0
1016,Severe Weather,2009,1/27/2009,1/30/2009,"Associated Electric Cooperative, Inc.",South Central and Southeast Missouri,SERC,"severe weather, winter storm",11:00:00,18:00:00,62500.0,200.0
1017,Severe Weather,2009,1/27/2009,1/29/2009,Arkansas Electric Cooperative Corporation,Northern Arkansas,SERC,"severe weather, winter storm",21:00:00,06:00:00,215700.0,600.0
1018,Severe Weather,2009,1/27/2009,1/31/2009,"East Kentucky Power Cooperative, Inc.",Central and Eastern Kentrucky,SERC,"severe weather, winter storm",05:03:00,17:15:00,190000.0,600.0
1019,Severe Weather,2009,1/27/2009,2/3/2009,Entergy Corporation,Northern Arkansas,SERC,"severe weather, winter storm",13:46:00,17:00:00,111818.0,
1020,Severe Weather,2009,1/27/2009,1/29/2009,Louisville Gas and Electric/Kentucky Utilities,State of Kentucky,RFC,"severe weather, winter storm",05:00:00,16:30:00,383000.0,
1021,Severe Weather,2009,1/27/2009,1/27/2009,Tennessee Valley Autbority,TVA Service Territory,SERC,"severe weather, winter storm",21:45:00,22:17:00,1.0,850.0
1022,Firm Load,2009,1/22/2009,1/22/2009,Crawfordsville Electric Light and Power,"Crawfordsville, Indiana",RFC,load shedding,16:00:00,17:05:00,9700.0,50.0
1023,Fuel Supply,2009,1/17/2009,1/25/2009,"State Line Energy, LLC","PJM, Indiana",RFC,fuel supply emergency,08:00:00,08:00:00,,
1024,Transmission Equipment,2009,1/8/2009,1/9/2009,Florida Keys Electric Cooperative Assoc. Inc.,Florida Keys,FRCC,"equipment failure, transmission interruption",23:46:00,11:25:00,31000.0,55.0
1025,Severe Weather,2009,1/7/2009,1/7/2009,Duke Energy Carolinas,Piedmont of North and South Carolina,SERC,"severe weather, wind",17:00:00,20:05:00,70000.0,300.0
1026,Severe Weather,2009,1/5/2009,1/6/2009,"Oncor Electric Delivery Company, LLC",North and Central Texas,TRE,"severe weather, storm",05:00:00,18:00:00,157019.0,
1027,Firm Load,2008,12/30/2008,12/30/2008,Crawfordsville Electric Light and Power,"Crawfordsville, Indiana",RFC,load shedding,16:02:00,16:37:00,9700.0,41.0
1028,Severe Weather,2008,12/28/2008,12/31/2008,Consumers Energy,Michigan Lower Peninsula,RFC,"severe weather, wind",04:45:00,18:00:00,210517.0,
1029,Severe Weather,2008,12/28/2008,12/28/2008,Midwest ISO,Michigan Lower Peninsula,RFC,"severe weather, wind",11:45:00,23:30:00,230000.0,
1030,Severe Weather,2008,12/27/2008,1/1/2008,DTE Energy,Southeastern Michigan,RFC,"severe weather, wind",16:00:00,23:30:00,247847.0,
1031,Lightning,2008,12/26/2008,12/27/2008,"Hawaiian Electric Company, Inc.","Island of Oahu, Hawaii",HI,"severe weather, thunderstorm",18:13:00,17:00:00,294000.0,1060.0
1032,Firm Load,2008,12/26/2008,12/26/2008,Sacramento Municipal Utility District,"Orangevale Area of Sacramento, California",WECC,load shedding,11:40:00,15:34:00,50000.0,110.0
1033,Severe Weather,2008,12/19/2008,12/20/2008,Midwest ISO,Northwest Indiana,RFC,"severe weather, winter storm",09:00:00,08:20:00,50000.0,
1034,Electrical System Separation,2008,12/19/2008,12/19/2008,Pacific Gas and Electric Company,"East of Oroville, California",WECC,islanding,01:02:00,06:17:00,638.0,1.0
1035,Severe Weather,2008,12/19/2008,12/22/2008,American Electric Power,"Indiana, Michigan and Northwest Ohio",RFC,"severe weather, winter storm",08:30:00,12:00:00,140000.0,
1036,Public Appeal,2008,12/13/2008,12/21/2008,Pacific Gas and Electric Company,Humboldt Area of California,WECC,public appeal,15:30:00,09:17:00,0.0,5.0
1037,Severe Weather,2008,12/12/2008,12/14/2008,Central Maine Power Company,Southern and Central Maine,NPCC,"severe weather, winter storm",08:45:00,09:52:00,169757.0,
1038,Severe Weather,2008,12/12/2008,12/22/2008,ISO New England,New England,NPCC,"severe weather, winter storm",01:00:00,00:00:00,970000.0,
1039,Severe Weather,2008,12/12/2008,12/19/2008,National Grid,Eastern New York,NPCC,"severe weather, winter storm",02:38:00,13:24:00,190000.0,200.0
1040,Severe Weather,2008,12/11/2008,12/15/2008,Central Hudson Gas and Electric,Northern Dutchess County and Western Ulster County in the Mid-Hudson Region of New York State,NPCC,"severe weather, winter storm",18:00:00,00:00:00,60000.0,
1041,Severe Weather,2008,12/11/2008,12/13/2008,Entergy Corporation,"Southern Louisiana, Southern and Central Mississippi",SERC,"severe weather, winter storm",09:00:00,23:59:00,91300.0,
1042,Public Appeal,2008,12/10/2008,12/10/2008,PacifiCorp,Southern Oregon,WECC,"equipment failure, public appeal",17:09:00,20:29:00,3.0,32.0
1043,Transmission Equipment,2008,12/9/2008,12/10/2008,Jersey Central Power and Light,Central New Jersey,RFC,transmission interruption,17:27:00,04:12:00,156729.0,438.0
1044,Fire,2008,12/2/2008,12/2/2008,Midwest ISO,"St. Louis, Missouri",RFC,"wild fire, load shedding",04:30:00,07:00:00,53000.0,135.0
1045,Fire,2008,11/15/2008,11/15/2008,Los Angeles Department of Water and Power,City of Los Angeles,WECC,"wild fire, load shedding",09:39:00,10:10:00,115500.0,211.0
1046,Firm Load,2008,11/11/2008,11/11/2008,Puerto Rico Electric Power Authority,Island of Puerto Rico,PR,load shedding,08:30:00,00:19:00,261000.0,250.0
1047,Firm Load,2008,11/7/2008,11/7/2008,California ISO,Southern California,WECC,load shedding,11:15:00,11:54:00,400000.0,430.0
1048,Firm Load,2008,11/7/2008,11/7/2008,Southern California Edison,Goleta and Santa Barbara Areas of Southern California,WECC,load shedding,11:13:00,11:54:00,140000.0,250.0
1049,Severe Weather,2008,10/25/2008,10/27/2008,ISO New England,Connecticut,NPCC,"severe weather, storm",23:00:00,07:00:00,52000.0,
1050,Firm Load,2008,10/2/2008,10/2/2008,Dow Chemical Company,Louisiana,SERC,load shedding,14:50:00,09:50:00,0.0,200.0
1051,Electrical System Separation,2008,9/30/2008,9/30/2008,Pacific Gas and Electric Company,"Plumas County, California",WECC,islanding,14:02:00,14:05:00,10000.0,30.0
1052,Firm Load,2008,9/22/2008,9/22/2008,Puerto Rico Electric Power Authority,Island of Puerto Rico,PR,load shedding,17:49:00,06:39:00,43600.0,125.0
1053,Hurricane Ike,2008,9/15/2008,9/19/2008,Allegheny Power,Western Pennsylvania,RFC,"severe weather, hurricane/tropical storm",00:37:00,16:30:00,160875.0,546.0
1054,Severe Weather,2008,9/14/2008,9/22/2008,Ohio Edison Company,"Southern, Eastern, and Central Ohio",RFC,"severe weather, wind",17:00:00,17:11:00,564728.0,469.0
1055,Severe Weather,2008,9/14/2008,9/21/2008,Owensboro Municipal Utilities,"City of Owensboro, Kentucky",RFC,"severe weather, wind",10:01:00,17:00:00,18000.0,70.0
1056,Hurricane Ike,2008,9/14/2008,9/14/2008,Louisville Gas/Kentucky Utilities,State of Kentucky,RFC,"severe weather, hurricane/tropical storm",11:30:00,16:30:00,375000.0,
1057,Severe Weather,2008,9/14/2008,9/22/2008,Cleveland Electric Illuminating Company,Northeast Ohio,RFC,"severe weather, wind",17:00:00,03:20:00,245164.0,430.0
1058,Hurricane Ike,2008,9/14/2008,9/18/2008,Ameren Corporation,Missouri and Illinois,MRO,"severe weather, hurricane/tropical storm",07:30:00,15:00:00,107000.0,
1059,Hurricane Ike,2008,9/14/2008,9/14/2008,Midwest ISO,"Ohio, Kentucky, Indiana",RFC,"severe weather, hurricane/tropical storm",06:30:00,14:38:00,875000.0,
1060,Severe Weather,2008,9/14/2008,9/19/2008,Pennsylvania Electric Company,Western Pennsylvania,RFC,"severe weather, wind",17:00:00,12:38:00,124596.0,72.0
1061,Hurricane Ike,2008,9/14/2008,9/17/2008,Dayton Power and Light,Dayton Ohio Area,RFC,"severe weather, hurricane/tropical storm",14:00:00,12:00:00,95000.0,1000.0
1062,Hurricane Ike,2008,9/14/2008,9/14/2008,Duquesne Light Company,Allegheny and Beaver Counties in Pennsylvania,RFC,"severe weather, hurricane/tropical storm",19:00:00,23:59:00,105000.0,600.0
1063,Severe Weather,2008,9/14/2008,9/20/2008,American Electric Company,"Northern Indiana, Central and Central Southern Ohio",RFC,"severe weather, wind",16:00:00,23:00:00,650000.0,
1064,Hurricane Ike,2008,9/13/2008,9/15/2008,Oncor Electric Delivery Company LLC,"North, Central and East Texas",TRE,"severe weather, hurricane/tropical storm",12:00:00,08:00:00,238392.0,
1065,Hurricane Ike,2008,9/13/2008,9/16/2008,American Electric Power CSWS,Texas and Louisana,SPP,"severe weather, hurricane/tropical storm",16:00:00,19:44:00,184501.0,
1066,Hurricane Ike,2008,9/13/2008,9/27/2008,Louisiana Generating LLC,Southwest Louisiana,SERC,"severe weather, hurricane/tropical storm",10:24:00,14:40:00,50000.0,40.0
1067,Hurricane Ike,2008,9/12/2008,9/27/2008,Texas New Mexico Power Company,Galveston and Brazoria Counties,TRE,"severe weather, hurricane/tropical storm",20:00:00,19:00:00,113247.0,650.0
1068,Hurricane Ike,2008,9/12/2008,10/1/2008,CenterPoint Energy,Greater Houston-Galveston Metro Area,TRE,"severe weather, hurricane/tropical storm",18:21:00,23:59:00,2142678.0,8087.0
1069,Hurricane Ike,2008,9/12/2008,10/1/2008,Electric Reliability Council of Texas,Greater Houston Area-Eastern Region of ERCOT,TRE,"severe weather, hurricane/tropical storm",18:21:00,23:59:00,2504366.0,
1070,Hurricane Ike,2008,9/12/2008,9/14/2008,Entergy Corporation,"Primarily Southeast Texas, Louisiana, and Arkansas",SERC,"severe weather, hurricane/tropical storm",05:45:00,13:00:00,705000.0,
1071,Fuel Supply,2008,9/8/2008,9/9/2008,"State of California, Department of Water Resources",A.D. Edmonston Pumping Plant,WECC,fuel supply emergency,22:03:00,00:28:00,0.0,300.0
1072,Severe Weather,2008,9/6/2008,9/6/2008,Dominion-Virginia Power,North East North Carolina and Virginia,SERC,"severe weather, hurricane/tropical storm",14:15:00,16:06:00,64463.0,220.0
1073,Severe Weather,2008,9/6/2008,9/6/2008,Progress Energy Carolinas,Eastern North Carolina,SERC,"severe weather, hurricane/tropical storm",07:45:00,10:30:00,57000.0,
1074,Hurricane Gustav,2008,9/1/2008,9/13/2008,Louisiana Generating LLC,Primarily South and Central Louisiana,SERC,"severe weather, hurricane/tropical storm",10:30:00,19:22:00,150000.0,400.0
1075,Hurricane Gustav,2008,9/1/2008,9/10/2008,Cleco Power LLC,"Bayou Division and North Lake Division, Louisiana",SERC,"severe weather, hurricane/tropical storm",11:45:00,16:00:00,246092.0,
1076,Fuel Supply,2008,8/31/2008,9/19/2008,Dow Chemical Company,"Plaquemine, Louisiana",SERC,fuel supply emergency,07:30:00,09:00:00,0.0,200.0
1077,Hurricane Gustav,2008,8/31/2008,9/3/2008,Entergy Corporation,"Louisiana, Mississippi, Arkansas",SERC,"severe weather, hurricane/tropical storm",19:00:00,09:00:00,964000.0,
1078,Severe Weather,2008,8/24/2008,8/24/2008,Southern Company,Georgia and Alabama,SERC,"severe weather, hurricane/tropical storm",04:30:00,14:00:00,87390.0,110.0
1079,Fuel Supply,2008,8/22/2008,8/23/2008,Mirant Chalk Point LLC,-,RFC,"fuel supply emergency, coal",12:00:00,12:00:00,0.0,0.0
1080,Severe Weather,2008,8/21/2008,8/25/2008,Progress Energy Florida,"Alachua, Bay, Brevard, Citrus, Columbia, Dixie, Flagler, Franklin, Gilchrist, Gulf, Hamilton, Hardee, Hernando, Highlands, Jefferson, Lafayette, Lake, Leon, Levy, Madison, Marion, Orange, Osceola, Pasco, Pinellas, Polk, Seminole, Sumter,  Suwannee, Taylor, Volusia and Wakulla Counties in Florida",FRCC,"severe weather, hurricane/tropical storm",19:00:00,08:00:00,430000.0,
1081,Severe Weather,2008,8/19/2008,8/22/2008,Florida Power and Light,Florida,FRCC,"severe weather, hurricane/tropical storm",09:29:00,22:00:00,101950.0,
1082,Firm Load,2008,8/18/2008,8/19/2008,Puerto Rico Electric Power Authority,North Part of Island,PR,load shedding,19:22:00,18:44:00,100000.0,225.0
1083,Lightning,2008,8/16/2008,8/16/2008,Lubbock Power and Light,City of Lubbock,TRE,"severe weather, thunderstorm, equipment failure",05:23:00,07:30:00,71823.0,153.0
1084,Firm Load,2008,8/16/2008,8/16/2008,Puerto Rico Electric Power Authority,Island of Puerto Rico,PR,"load shedding, voltage reduction",08:14:00,15:00:00,200000.0,300.0
1085,Public Appeal,2008,8/15/2008,8/15/2008,Seattle City Light,Part of Seattle's Downtown,WECC,public appeal,12:52:00,17:00:00,8000.0,100.0
1086,Public Appeal,2008,8/9/2008,8/9/2008,XCEL,Texas Panhandle and Eastern New Mexico,SPP,"fuel supply emergency, public appeal",12:00:00,20:46:00,0.0,0.0
1087,Severe Weather,2008,8/5/2008,8/5/2008,Northern Indiana Public Service Company,Northwest Indiana,RFC,"severe weather, storm",03:00:00,09:50:00,63000.0,0.0
1088,Severe Weather,2008,8/4/2008,8/6/2008,Exelon Corporation West ComEd,The ComEd Territory,RFC,severe weather,18:00:00,08:00:00,653000.0,
